Date,Close,Open,High,Low,Volume,Up&Down,Rate
2010-01-08,107000,103500,110000,101500,368825,6500,6.467661692
2010-01-11,105500,107000,110000,104000,258224,-1500,-1.401869159
2010-01-12,110500,106500,113000,104000,233970,5000,4.739336493
2010-01-13,108000,108500,114000,107000,235494,-2500,-2.262443439
2010-01-14,107000,107500,112000,103000,284928,-1000,-0.925925926
2010-01-15,113000,107000,113000,106000,242643,6000,5.607476636
2010-01-18,119000,115000,122500,115000,256173,6000,5.309734513
2010-01-19,120500,120000,124500,117000,252589,1500,1.260504202
2010-01-20,122500,122000,124000,119000,124339,2000,1.659751037
2010-01-21,117500,120500,121500,117000,120251,-5000,-4.081632653
2010-01-22,115500,113500,120000,113500,165489,-2000,-1.70212766
2010-01-25,110500,113500,117500,108000,283860,-5000,-4.329004329
2010-01-26,104000,111000,113000,102500,349603,-6500,-5.882352941
2010-01-27,104500,105500,107000,99900,302317,500,0.480769231
2010-01-28,107000,104500,109500,101500,154346,2500,2.392344498
2010-01-29,102500,105000,106000,99100,204495,-4500,-4.205607477
2010-02-01,101500,102000,103000,99600,104606,-1000,-0.975609756
2010-02-02,101000,105000,106000,101000,113075,-500,-0.492610837
2010-02-03,103000,103000,104500,103000,83119,2000,1.98019802
2010-02-04,104500,103000,105500,102500,70776,1500,1.45631068
2010-02-05,99300,99000,101000,99000,134313,-5200,-4.976076555
2010-02-08,99600,99700,101500,99200,89627,300,0.302114804
2010-02-09,101000,99600,102000,98300,93315,1400,1.40562249
2010-02-10,102500,103000,106000,102000,121290,1500,1.485148515
2010-02-11,103500,102500,104500,102500,47954,1000,0.975609756
2010-02-12,104500,103500,106000,103000,77958,1000,0.966183575
2010-02-16,105000,104500,107500,103500,45672,500,0.4784689
2010-02-17,104500,107500,107500,104000,112010,-500,-0.476190476
2010-02-18,107000,106000,109000,104500,116087,2500,2.392344498
2010-02-19,107500,106000,109000,105500,109000,500,0.46728972
2010-02-22,110000,109500,111000,108500,65001,2500,2.325581395
2010-02-23,111000,109000,112000,109000,66151,1000,0.909090909
2010-02-24,113500,110000,113500,109000,66532,2500,2.252252252
2010-02-25,109000,114000,114500,105000,233408,-4500,-3.964757709
2010-02-26,108000,108000,108500,105500,110889,-1000,-0.917431193
2010-03-02,106500,108500,109500,106000,108689,-1500,-1.388888889
2010-03-03,106500,107500,108500,105500,84878,0,0
2010-03-04,105500,107500,109500,105500,74836,-1000,-0.938967136
2010-03-05,108500,107000,109000,106000,46022,3000,2.843601896
2010-03-08,112500,111000,114000,110000,150233,4000,3.686635945
2010-03-09,114500,112000,116000,111000,108116,2000,1.777777778
2010-03-10,116000,114500,116000,112500,97586,1500,1.310043668
2010-03-11,114500,116500,117000,113000,65520,-1500,-1.293103448
2010-03-12,117000,115000,117000,112500,93968,2500,2.183406114
2010-03-15,115000,116000,116500,112000,110521,-2000,-1.709401709
2010-03-16,112500,113500,115000,112000,65742,-2500,-2.173913043
2010-03-17,114500,115000,116500,113500,131223,2000,1.777777778
2010-03-18,116000,114500,120000,114500,196577,1500,1.310043668
2010-03-19,116500,117500,119000,115500,129187,500,0.431034483
2010-03-22,115000,117000,118000,115000,93260,-1500,-1.287553648
2010-03-23,115500,116500,117000,114500,70015,500,0.434782609
2010-03-24,116000,116000,117000,112500,104245,500,0.432900433
2010-03-25,116500,115500,118000,115000,70149,500,0.431034483
2010-03-26,117000,116500,118000,115000,61867,500,0.429184549
2010-03-29,118000,117000,120000,116500,194066,1000,0.854700855
2010-03-30,124000,119500,125000,119500,311840,6000,5.084745763
2010-03-31,128500,125000,129000,124500,282217,4500,3.629032258
2010-04-01,127500,128500,129500,124500,129430,-1000,-0.778210117
2010-04-02,131000,129500,131500,126500,242249,3500,2.745098039
2010-04-05,132500,130500,133500,128000,114985,1500,1.145038168
2010-04-06,135500,133000,136000,133000,187146,3000,2.264150943
2010-04-07,134000,135500,135500,132500,145072,-1500,-1.10701107
2010-04-08,134000,134000,134500,131000,128967,0,0
2010-04-09,134000,135500,135500,132500,138394,0,0
2010-04-12,133500,134500,136500,131500,107204,-500,-0.373134328
2010-04-13,132000,133500,135000,130000,121918,-1500,-1.123595506
2010-04-14,130000,132000,133500,127500,142831,-2000,-1.515151515
2010-04-15,127500,131000,131000,126500,199672,-2500,-1.923076923
2010-04-16,128000,128000,130000,126000,114984,500,0.392156863
2010-04-19,125000,125000,127000,124500,62519,-3000,-2.34375
2010-04-20,126500,125500,127000,122500,74287,1500,1.2
2010-04-21,127000,127500,127500,125500,77867,500,0.395256917
2010-04-22,122500,126000,126000,122500,131773,-4500,-3.543307087
2010-04-23,121000,122500,123500,119000,150746,-1500,-1.224489796
2010-04-26,121000,121000,123500,121000,58884,0,0
2010-04-27,128500,123000,128500,122000,225256,7500,6.198347107
2010-04-28,128500,125000,129500,124500,209623,0,0
2010-04-29,120500,130500,133500,119500,493773,-8000,-6.225680934
2010-04-30,122500,124500,126000,120500,224138,2000,1.659751037
2010-05-03,107000,122500,122500,104500,1123222,-15500,-12.65306122
2010-05-04,107500,110500,112500,101500,792386,500,0.46728972
2010-05-06,102000,104000,104500,101000,360851,-5500,-5.11627907
2010-05-07,101500,97100,103000,95500,461090,-500,-0.490196078
2010-05-10,108000,102000,109000,100000,428678,6500,6.403940887
